ID,Study ID,Reference,Grouping,Victim,Perpetrator,Route Victim,Route Perpetrator,Compartment,AUCR Avg,AUCR AvgType,AUCR Var,AUCR VarType,CmaxR Avg,CmaxR AvgType,CmaxR Var,CmaxR VarType,t_placebo_0,t_placebo_end,t_treatment_0,t_treatment_end,t Unit,Comment,Dose,Dose free API,Dose Unit,Route,Times of Administration,Times Unit,Comment Regimen,Administered form,Formulation type,Infusion duration [min],Water volume ingested for drug intake [mL],Comment on administration/formulation,Fasted/Fed state,Duration of fasting before drug administration [h],Duration of fasting after drug administration [h],Comment on food intake,Notghi
320,Kivistö 1997,https://www.ncbi.nlm.nih.gov/pubmed/9333111,with Perpetrator (Itraconazole),Buspirone,Itraconazole,PO,PO,Plasma,19.2,,,,13.4,,,,0,inf,79,inf,h,,100,,mg,PO,0-6-24-30-48-54-72-78,h,MD,,Sporanox,,150,,Fasted,2,3,wrt. administration of buspirone,0
318,Kivistö 1997,https://www.ncbi.nlm.nih.gov/pubmed/9333111,with Perpetrator (Erythromycin),Buspirone,Erythromycin,PO,PO,Plasma,5.9,,,,5,,,,0,inf,79,inf,h,,500,,mg,PO,0-6-14-24-30-38-48-54-62-72-78,h,MD,erythromycin base,Ery-Max 250 mg enterocapsule,,150,,Fasted,2,3,wrt. administration of buspirone,0
327,Lamberg 1998a,https://www.ncbi.nlm.nih.gov/pubmed/9923581,with Perpetrator (Fluvoxamine),Buspirone,Fluvoxamine,PO,PO,Plasma,2.35,,0.75-4.69,Range,2.01,,0.69-3.96,Range,0,inf,114,inf,h,,100,,mg,PO,0-24-48-72-96,h,SD,,Fevarin,,150,,Fasted,2,3,wrt. administration of buspirone,0
329,Lamberg 1998b,https://www.ncbi.nlm.nih.gov/pubmed/9578186,with Perpetrator (Rifampicin),Buspirone,Rifampicin,PO,PO,Plasma,0.104,,0.063-0.145,95% CI,0.163,,0.101-0.226,95% CI,0,inf,113,inf,h,,30,,mg,PO,0-24-48-72-96,h,SD,,Rimapen Orion,,150,,Fasted,2,3,wrt. administration of buspirone,0
331,Lamberg 1998c,https://www.ncbi.nlm.nih.gov/pubmed/9663178,with Perpetrator (Verapamil),Buspirone,Verapamil,PO,PO,Plasma,3.4,,,,3.4,,,,0,inf,30,inf,h,,80,,mg,PO,0-5-12-24-29,h,SD,,Verapamil tablet Orion,,150,,Fasted,2,3,wrt. administration of buspirone,0
333,Lamberg 1998c,https://www.ncbi.nlm.nih.gov/pubmed/9663178,with Perpetrator (Diltiazem),Buspirone,Diltiazem,PO,PO,Plasma,5.5,,,,4.1,,,,0,inf,30,inf,h,,60,,mg,PO,0-5-12-24-29,h,SD,,Diltiazem tablet Orion,,150,,Fasted,2,3,wrt. administration of buspirone,0
113,Chung 2006,https://www.ncbi.nlm.nih.gov/pubmed/16580903,with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Plasma,0.124489796,Approx. Avg,,,0.169565217,Approx. CmaxR,,,0,inf,166,inf,h,,600,,mg,PO,"(S-0,T-24,R-9)",h,,300-mg capsules (UDL),,,,2x 300 mg capsules,,,,,0
114,Chung 2006,https://www.ncbi.nlm.nih.gov/pubmed/16580903,with Perpetrator (Ketoconazole),Midazolam,Ketoconazole,PO,PO,Plasma,9.510204082,Approx. Avg,,,2.391304348,Approx. CmaxR,,,0,inf,118,inf,h,,400,,mg,PO,"(S-0,T-24,R-10)",h,,200-mg tablets (Taro),,,,2x 200 mg tablets,,,,,0
116,Chung 2006,https://www.ncbi.nlm.nih.gov/pubmed/16580903,with Perpetrator (Rifampicin),Simvastatin,Rifampicin,PO,PO,Plasma,0.089655172,Approx. Avg,,,0.148648649,Approx. CmaxR,,,0,inf,190,inf,h,,600,,mg,PO,"(S-0,T-24,R-9)",h,,300-mg capsules (UDL),,,,2x 300 mg capsules,,,,,0
117,Chung 2006,https://www.ncbi.nlm.nih.gov/pubmed/16580903,with Perpetrator (Ketoconazole),Simvastatin,Ketoconazole,PO,PO,Plasma,12.55172414,Approx. Avg,,,7.432432432,Approx. CmaxR,,,0,inf,190,inf,h,,400,,mg,PO,"(S-0,T-24,R-10)",h,,200-mg tablets (Taro),,,,2x 200 mg tablets,,,,,0
280,Kharasch 2004,https://www.ncbi.nlm.nih.gov/pubmed/15536460,iv with Perpetrator (Rifampicin),Midazolam,Rifampicin,IV,PO,Plasma,0.521126761,Approx. Avg,,,1.009960159,Approx. CmaxR,,,0,inf,104,128,h,,600,,mg,PO,"(S-0,T-24,R-6)",h,MD OD,,,,,,,,,,0
283,Kharasch 2004,https://www.ncbi.nlm.nih.gov/pubmed/15536460,iv with Perpetrator (Rifampicin),Alfentanil,Rifampicin,IV,PO,Plasma,0.375,Approx. Avg,,,1.003325942,Approx. CmaxR,,,0,inf,105,129,h,,600,,mg,PO,"(S-0,T-24,R-6)",h,MD OD,,,,,,,,,,0
286,Kharasch 2004,https://www.ncbi.nlm.nih.gov/pubmed/15536460,po #1 with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Plasma,0.052631579,Approx. Avg,,,0.10989011,Approx. CmaxR,,,0,inf,128,inf,h,,600,,mg,PO,"(S-0,T-24,R-6)",h,MD OD,,,,,,,,,,0
288,Kharasch 2004,https://www.ncbi.nlm.nih.gov/pubmed/15536460,po #1 (60 µg/kg) with Perpetrator (Rifampicin),Alfentanil,Rifampicin,PO,PO,Plasma,0.045631068,Approx. Avg,,,0.111111111,Approx. CmaxR,,,0,inf,129,inf,h,,600,,mg,PO,"(S-0,T-24,R-6)",h,MD OD,,,,,,,,,,0
392,Reitman 2011,https://www.ncbi.nlm.nih.gov/pubmed/21191377,Week 0 after Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Plasma,0.123,arith. mean,,,0.162,arith. mean,,,1320,inf,648,816,h,Week 4 as Control,600,,mg,PO,"(S-0,T-24,R-28)",h,,,Rifadin (2x 300mg),,,Rifadin 2x 300 mg (Merrel),Fasted,,,,0
